ispb,name,code,fullName
00000000,BCO DO BRASIL S.A.,1.0,Banco do Brasil S.A.
00000208,BRB - BCO DE BRASILIA S.A.,70.0,BRB - BANCO DE BRASILIA S.A.
00038121,Selic,,Banco Central do Brasil - Selic
00038166,Bacen,,Banco Central do Brasil
00122327,SANTINVEST S.A. - CFI,539.0,"SANTINVEST S.A. - CREDITO, FINANCIAMENTO E INVESTIMENTOS"
00204963,CCR SEARA,430.0,COOPERATIVA DE CREDITO RURAL SEARA - CREDISEARA
00250699,AGK CC S.A.,272.0,AGK CORRETORA DE CAMBIO S.A.
00315557,CONF NAC COOP CENTRAIS UNICRED,136.0,CONFEDERAÇÃO NACIONAL DAS COOPERATIVAS CENTRAIS UNICRED LTDA. - UNICRED DO BRASI
00329598,ÍNDIGO INVESTIMENTOS DTVM LTDA.,407.0,ÍNDIGO INVESTIMENTOS DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA.
00360305,CAIXA ECONOMICA FEDERAL,104.0,CAIXA ECONOMICA FEDERAL
00394460,STN,,Secretaria do Tesouro Nacional - STN
00416968,BANCO INTER,77.0,Banco Inter S.A.
00460065,COLUNA S.A. DTVM,423.0,COLUNA S/A DISTRIBUIDORA DE TITULOS E VALORES MOBILIÁRIOS
00517645,BCO RIBEIRAO PRETO S.A.,741.0,BANCO RIBEIRAO PRETO S.A.
00556603,BANCO BARI S.A.,330.0,BANCO BARI DE INVESTIMENTOS E FINANCIAMENTOS S.A.
00558456,BCO CETELEM S.A.,739.0,Banco Cetelem S.A.
00714671,EWALLY IP S.A.,534.0,EWALLY INSTITUIÇÃO DE PAGAMENTO S.A.
00795423,BANCO SEMEAR,743.0,Banco Semear S.A.
00806535,PLANNER CV S.A.,100.0,Planner Corretora de Valores S.A.
00954288,FDO GARANTIDOR CRÉDITOS,541.0,FUNDO GARANTIDOR DE CREDITOS - FGC
00997185,BCO B3 S.A.,96.0,Banco B3 S.A.
01023570,BCO RABOBANK INTL BRASIL S.A.,747.0,Banco Rabobank International Brasil S.A.
01027058,CIELO IP S.A.,362.0,CIELO S.A. - INSTITUIÇÃO DE PAGAMENTO
01073966,CCR DE ABELARDO LUZ,322.0,Cooperativa de Crédito Rural de Abelardo Luz - Sulcredi/Crediluz
01181521,BCO COOPERATIVO SICREDI S.A.,748.0,BANCO COOPERATIVO SICREDI S.A.
01330387,CREHNOR LARANJEIRAS,350.0,COOPERATIVA DE CRÉDITO RURAL DE PEQUENOS AGRICULTORES E DA REFORMA AGRÁRIA DO CE
01522368,BCO BNP PARIBAS BRASIL S A,752.0,Banco BNP Paribas Brasil S.A.
01658426,CECM COOPERFORTE,379.0,COOPERFORTE - COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DE FUNCIONÁRIOS DE INSTITU
01701201,KIRTON BANK,399.0,Kirton Bank S.A. - Banco Múltiplo
01852137,BCO BRASILEIRO DE CRÉDITO S.A.,378.0,BANCO BRASILEIRO DE CRÉDITO SOCIEDADE ANÔNIMA
01858774,BCO BV S.A.,413.0,BANCO BV S.A.
02038232,BANCO SICOOB S.A.,756.0,BANCO COOPERATIVO SICOOB S.A. - BANCO SICOOB
02276653,TRINUS CAPITAL DTVM,360.0,TRINUS CAPITAL DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.
02318507,BCO KEB HANA DO BRASIL S.A.,757.0,BANCO KEB HANA DO BRASIL S.A.
02332886,XP INVESTIMENTOS CCTVM S/A,102.0,"XP INVESTIMENTOS CORRETORA DE CÂMBIO,TÍTULOS E VALORES MOBILIÁRIOS S/A"
02398976,SISPRIME DO BRASIL - COOP,84.0,SISPRIME DO BRASIL - COOPERATIVA DE CRÉDITO
02685483,CM CAPITAL MARKETS CCTVM LTDA,180.0,"CM CAPITAL MARKETS CORRETORA DE CÂMBIO, TÍTULOS E VALORES MOBILIÁRIOS LTDA"
02801938,BCO MORGAN STANLEY S.A.,66.0,BANCO MORGAN STANLEY S.A.
02819125,UBS BRASIL CCTVM S.A.,15.0,"UBS Brasil Corretora de Câmbio, Títulos e Valores Mobiliários S.A."
02992317,TREVISO CC S.A.,143.0,Treviso Corretora de Câmbio S.A.
02992335,CIP SA Siloc,,CIP S.A
03012230,HIPERCARD BM S.A.,62.0,Hipercard Banco Múltiplo S.A.
03017677,BCO. J.SAFRA S.A.,74.0,Banco J. Safra S.A.
03046391,UNIPRIME COOPCENTRAL LTDA.,99.0,UNIPRIME CENTRAL NACIONAL - CENTRAL NACIONAL DE COOPERATIVA DE CREDITO
03215790,BCO TOYOTA DO BRASIL S.A.,387.0,Banco Toyota do Brasil S.A.
03311443,PARATI - CFI S.A.,326.0,"PARATI - CREDITO, FINANCIAMENTO E INVESTIMENTO S.A."
03323840,BCO ALFA S.A.,25.0,Banco Alfa S.A.
03532415,BCO ABN AMRO S.A.,75.0,Banco ABN Amro S.A.
03609817,BCO CARGILL S.A.,40.0,Banco Cargill S.A.
03751794,TERRA INVESTIMENTOS DTVM,307.0,Terra Investimentos Distribuidora de Títulos e Valores Mobiliários Ltda.
03844699,CECM DOS TRAB.PORT. DA G.VITOR,385.0,COOPERATIVA DE ECONOMIA E CREDITO MUTUO DOS TRABALHADORES PORTUARIOS DA GRANDE V
03881423,SOCINAL S.A. CFI,425.0,"SOCINAL S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTO"
03973814,SERVICOOP,190.0,SERVICOOP - COOPERATIVA DE CRÉDITO DOS SERVIDORES PÚBLICOS ESTADUAIS E MUNICIPAI
04062902,OZ CORRETORA DE CÂMBIO S.A.,296.0,OZ CORRETORA DE CÂMBIO S.A.
04184779,BANCO BRADESCARD,63.0,Banco Bradescard S.A.
04257795,NOVA FUTURA CTVM LTDA.,191.0,Nova Futura Corretora de Títulos e Valores Mobiliários Ltda.
04307598,FIDUCIA SCMEPP LTDA,382.0,FIDÚCIA SOCIEDADE DE CRÉDITO AO MICROEMPREENDEDOR E À EMPRESA DE PEQUENO PORTE L
04332281,GOLDMAN SACHS DO BRASIL BM S.A,64.0,GOLDMAN SACHS DO BRASIL BANCO MULTIPLO S.A.
04391007,CAMARA INTERBANCARIA DE PAGAMENTOS - CIP,,CIP S.A
04546162,CCM SERV. PÚBLICOS SP,459.0,COOPERATIVA DE CRÉDITO MÚTUO DE SERVIDORES PÚBLICOS DO ESTADO DE SÃO PAULO - CRE
04632856,CREDISIS CENTRAL DE COOPERATIVAS DE CRÉDITO LTDA.,97.0,Credisis - Central de Cooperativas de Crédito Ltda.
04715685,CCM DESP TRÂNS SC E RS,16.0,COOPERATIVA DE CRÉDITO MÚTUO DOS DESPACHANTES DE TRÂNSITO DE SANTA CATARINA E RI
04814563,BCO AFINZ S.A. - BM,299.0,BANCO AFINZ S.A. - BANCO MÚLTIPLO
04831810,CECM SERV PUBL PINHÃO,471.0,COOPERATIVA DE ECONOMIA E CREDITO MUTUO DOS SERVIDORES PUBLICOS DE PINHÃO - CRES
04862600,PORTOSEG S.A. CFI,468.0,"PORTOSEG S.A. - CREDITO, FINANCIAMENTO E INVESTIMENTO"
04866275,BANCO INBURSA,12.0,Banco Inbursa S.A.
04902979,BCO DA AMAZONIA S.A.,3.0,BANCO DA AMAZONIA S.A.
04913129,CONFIDENCE CC S.A.,60.0,Confidence Corretora de Câmbio S.A.
04913711,BCO DO EST. DO PA S.A.,37.0,Banco do Estado do Pará S.A.
05192316,VIA CERTA FINANCIADORA S.A. - CFI,411.0,"Via Certa Financiadora S.A. - Crédito, Financiamento e Investimentos"
05351887,ZEMA CFI S/A,359.0,"ZEMA CRÉDITO, FINANCIAMENTO E INVESTIMENTO S/A"
05442029,CASA CREDITO S.A. SCM,159.0,Casa do Crédito S.A. Sociedade de Crédito ao Microempreendedor
05463212,COOPCENTRAL AILOS,85.0,Cooperativa Central de Crédito - Ailos
05491616,COOP CREDITAG,400.0,"COOPERATIVA DE CRÉDITO, POUPANÇA E SERVIÇOS FINANCEIROS DO CENTRO OESTE - CREDIT"
05676026,CREDIARE CFI S.A.,429.0,"Crediare S.A. - Crédito, financiamento e investimento"
05684234,PLANNER SOCIEDADE DE CRÉDITO DIRETO,410.0,PLANNER SOCIEDADE DE CRÉDITO DIRETO S.A.
05790149,CENTRAL COOPERATIVA DE CRÉDITO NO ESTADO DO ESPÍRITO SANTO,114.0,Central Cooperativa de Crédito no Estado do Espírito Santo - CECOOP
05841967,CECM FABRIC CALÇADOS SAPIRANGA,328.0,COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS FABRICANTES DE CALÇADOS DE SAPIRANGA
06271464,BCO BBI S.A.,36.0,Banco Bradesco BBI S.A.
07138049,LIGA INVEST DTVM LTDA.,469.0,LIGA INVEST DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA
07207996,BCO BRADESCO FINANC. S.A.,394.0,Banco Bradesco Financiamentos S.A.
07237373,BCO DO NORDESTE DO BRASIL S.A.,4.0,Banco do Nordeste do Brasil S.A.
07253654,HEDGE INVESTMENTS DTVM LTDA.,458.0,HEDGE INVESTMENTS DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA.
07450604,BCO CCB BRASIL S.A.,320.0,China Construction Bank (Brasil) Banco Múltiplo S/A
07512441,HS FINANCEIRA,189.0,"HS FINANCEIRA S/A CREDITO, FINANCIAMENTO E INVESTIMENTOS"
07652226,LECCA CFI S.A.,105.0,"Lecca Crédito, Financiamento e Investimento S/A"
07656500,BCO KDB BRASIL S.A.,76.0,Banco KDB do Brasil S.A.
07679404,BANCO TOPÁZIO S.A.,82.0,BANCO TOPÁZIO S.A.
07693858,HSCM SCMEPP LTDA.,312.0,HSCM - SOCIEDADE DE CRÉDITO AO MICROEMPREENDEDOR E À EMPRESA DE PEQUENO PORTE LT
07799277,VALOR SCD S.A.,195.0,VALOR SOCIEDADE DE CRÉDITO DIRETO S.A.
07945233,POLOCRED SCMEPP LTDA.,93.0,PÓLOCRED   SOCIEDADE DE CRÉDITO AO MICROEMPREENDEDOR E À EMPRESA DE PEQUENO PORT
08240446,CCR DE IBIAM,391.0,COOPERATIVA DE CREDITO RURAL DE IBIAM - SULCREDI/IBIAM
08253539,CCR DE SÃO MIGUEL DO OESTE,273.0,Cooperativa de Crédito Rural de São Miguel do Oeste - Sulcredi/São Miguel
08357240,BCO CSF S.A.,368.0,Banco CSF S.A.
08561701,PAGSEGURO INTERNET IP S.A.,290.0,PAGSEGURO INTERNET INSTITUIÇÃO DE PAGAMENTO S.A.
08609934,MONEYCORP BCO DE CÂMBIO S.A.,259.0,MONEYCORP BANCO DE CÂMBIO S.A.
08673569,F D GOLD DTVM LTDA,395.0,F.D'GOLD - DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA.
09089356,EFÍ S.A. - IP,364.0,EFÍ S.A. - INSTITUIÇÃO DE PAGAMENTO
09105360,ICAP DO BRASIL CTVM LTDA.,157.0,ICAP do Brasil Corretora de Títulos e Valores Mobiliários Ltda.
09210106,SOCRED SA - SCMEPP,183.0,SOCRED S.A. - SOCIEDADE DE CRÉDITO AO MICROEMPREENDEDOR E À EMPRESA DE PEQUENO P
09274232,STATE STREET BR S.A. BCO COMERCIAL,14.0,STATE STREET BRASIL S.A. - BANCO COMERCIAL
09313766,CARUANA SCFI,130.0,"CARUANA S.A. - SOCIEDADE DE CRÉDITO, FINANCIAMENTO E INVESTIMENTO"
09464032,MIDWAY S.A. - SCFI,358.0,"MIDWAY S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTO"
09512542,CODEPE CVC S.A.,127.0,Codepe Corretora de Valores e Câmbio S.A.
09516419,PICPAY BANK - BANCO MÚLTIPLO S.A,79.0,PICPAY BANK - BANCO MÚLTIPLO S.A
09526594,MASTER BI S.A.,141.0,BANCO MASTER DE INVESTIMENTO S.A.
09554480,SUPERDIGITAL I.P. S.A.,340.0,SUPERDIGITAL INSTITUIÇÃO DE PAGAMENTO S.A.
10264663,BANCOSEGURO S.A.,81.0,BancoSeguro S.A.
10371492,BCO YAMAHA MOTOR S.A.,475.0,Banco Yamaha Motor do Brasil S.A.
10398952,CRESOL CONFEDERAÇÃO,133.0,CONFEDERAÇÃO NACIONAL DAS COOPERATIVAS CENTRAIS DE CRÉDITO E ECONOMIA FAMILIAR E
10573521,MERCADO PAGO IP LTDA.,323.0,MERCADO PAGO INSTITUIÇÃO DE PAGAMENTO LTDA.
10664513,BCO AGIBANK S.A.,121.0,Banco Agibank S.A.
10690848,BCO DA CHINA BRASIL S.A.,83.0,Banco da China Brasil S.A.
10853017,GET MONEY CC LTDA,138.0,Get Money Corretora de Câmbio S.A.
10866788,BCO BANDEPE S.A.,24.0,Banco Bandepe S.A.
11165756,GLOBAL SCM LTDA,384.0,GLOBAL FINANÇAS SOCIEDADE DE CRÉDITO AO MICROEMPREENDEDOR E À EMPRESA DE PEQUENO
11285104,NEON FINANCEIRA - CFI S.A.,426.0,"NEON FINANCEIRA - CRÉDITO, FINANCIAMENTO E INVESTIMENTO S.A."
11476673,BANCO RANDON S.A.,88.0,BANCO RANDON S.A.
11495073,OM DTVM LTDA,319.0,OM DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA
11581339,BMP SCMEPP LTDA,274.0,BMP SOCIEDADE DE CRÉDITO AO MICROEMPREENDEDOR E A EMPRESA DE PEQUENO PORTE LTDA.
11703662,TRAVELEX BANCO DE CÂMBIO S.A.,95.0,Travelex Banco de Câmbio S.A.
11758741,BANCO FINAXIS,94.0,Banco Finaxis S.A.
11760553,GAZINCRED S.A. SCFI,478.0,"GAZINCRED S.A. SOCIEDADE DE CRÉDITO, FINANCIAMENTO E INVESTIMENTO"
11970623,BCO SENFF S.A.,276.0,BANCO SENFF S.A.
12392983,MIRAE ASSET CCTVM LTDA,447.0,"MIRAE ASSET WEALTH MANAGEMENT (BRAZIL) CORRETORA DE CÂMBIO, TÍTULOS E VALORES MO"
13009717,BCO DO EST. DE SE S.A.,47.0,Banco do Estado de Sergipe S.A.
13059145,BEXS BCO DE CAMBIO S.A.,144.0,BEXS BANCO DE CÂMBIO S/A
13140088,ACESSO SOLUÇÕES DE PAGAMENTO S.A. - INSTITUIÇÃO DE PAGAMENTO,332.0,ACESSO SOLUÇÕES DE PAGAMENTO S.A. - INSTITUIÇÃO DE PAGAMENTO
13203354,FITBANK IP,450.0,FITBANK INSTITUIÇÃO DE PAGAMENTOS ELETRÔNICOS S.A.
13220493,BR PARTNERS BI,126.0,BR Partners Banco de Investimento S.A.
13293225,ÓRAMA DTVM S.A.,325.0,Órama Distribuidora de Títulos e Valores Mobiliários S.A.
13370835,DOCK IP S.A.,301.0,DOCK INSTITUIÇÃO DE PAGAMENTO S.A.
13486793,BRL TRUST DTVM SA,173.0,BRL Trust Distribuidora de Títulos e Valores Mobiliários S.A.
